dates,turn,ipi,constr,maut,cars,pmis,exp,imp,pmim,orders,
01/01/2005,100.6,87.1,52.5,67.8,448022.8801,51.49,63.63,48.71,52.37,73.60,
01/02/2005,96.8,85.8,47.8,69,433068.8665,50.45,61.05,47.56,52.17,72.30,
01/03/2005,97.7,86.1,44.7,69.5,438285.4844,51.8,62.54,48.29,50.30,73.70,
01/04/2005,99.3,87.4,50.2,70.5,466183.1039,51.32,62.55,50.23,49.73,73.20,
01/05/2005,95.2,86.5,52,70.6,394148.1774,52.65,65.80,53.57,49.44,73.60,
01/06/2005,98.5,88.1,52.2,71.2,460811.789,52.33,64.47,50.77,49.82,76.00,
01/07/2005,100.3,89.3,52.5,71.9,463076.0978,53.76,65.72,51.97,49.81,77.70,
01/08/2005,97,86.9,52.1,71.6,426118.001,54.56,66.71,52.57,48.74,75.90,
01/09/2005,102.9,88.9,51.9,72.8,463079.2671,56.16,66.45,53.25,50.97,78.40,
01/10/2005,101,90.5,52.8,74.8,457921.4624,55.19,67.63,55.29,53.15,79.30,
01/11/2005,100.2,89.6,50.9,74.5,454927.1572,54.81,68.03,56.35,52.68,80.50,
01/12/2005,101.4,89.9,54.2,74.8,463427.6242,56.01,68.01,57.11,53.56,80.00,
01/01/2006,100,90.4,48,73.6,453460.4908,58.06,69.83,56.39,54.98,80.70,
01/02/2006,101,90.6,50.3,74.6,452487.2659,57.77,71.51,58.91,55.83,81.00,
01/03/2006,100.4,89.3,45.6,74.5,457313.566,56.59,69.18,58.92,58.09,80.30,
01/04/2006,104.8,91.9,53.5,76.6,436303.4915,57.25,73.72,60.40,58.11,82.30,
01/05/2006,102.2,92.9,55.8,78.1,467634.1033,56.67,71.19,60.33,58.53,82.70,
01/06/2006,101.6,92.7,56.2,78.2,410574.6748,60.97,71.97,61.25,59.50,81.40,
01/07/2006,105.7,94.1,57.5,79,475905.3181,56.06,74.17,61.37,58.91,83.80,
01/08/2006,101.2,94.5,56.9,79.1,440734.9986,54.29,73.00,59.92,58.33,86.50,
01/09/2006,105.7,94.4,57.1,79.6,449458.8958,54.43,77.91,63.77,58.39,85.20,
01/10/2006,105.4,94.1,56.6,80.4,436774.1801,54.05,80.19,63.62,58.24,84.70,
01/11/2006,109.4,95.7,57.7,81.1,453692.9272,56.78,80.92,64.39,58.27,85.00,
01/12/2006,106.7,96.6,59.7,82,479700.4654,57.65,79.51,64.91,59.43,85.60,
01/01/2007,104.4,96.3,57.8,81.9,493872.102,58.27,78.13,61.03,58.55,86.70,
01/02/2007,107,97.1,58.9,81.9,481349.4376,57.21,78.97,65.22,57.22,89.30,
01/03/2007,108.7,97.2,57,83,494034.3751,57.5,77.32,62.86,56.88,89.30,
01/04/2007,106,96.2,54.6,81,479903.1204,57.83,80.86,64.18,57.03,88.30,
01/05/2007,107.8,98.1,55.9,82.7,456015.5195,57.46,79.55,62.97,56.06,91.10,
01/06/2007,108.1,98.3,55.1,83.4,473179.1033,58.88,80.10,64.96,57.33,94.40,
01/07/2007,109.1,98.9,56.1,82.9,482213.416,58.47,80.46,63.20,56.75,90.10,
01/08/2007,109.5,99.1,55.8,83.2,455410.5428,59.76,81.69,65.30,55.96,90.60,
01/09/2007,110.8,100.2,56.1,84,462123.9447,53.09,82.41,64.41,54.87,90.70,
01/10/2007,111.7,100.2,55.6,84.3,468080.4861,55.08,82.42,65.01,51.67,94.70,
01/11/2007,112.9,100,54.2,84.1,488883.3103,53.09,83.17,65.38,53.74,96.40,
01/12/2007,111,100.7,57.5,85.3,471771.3009,51.24,84.05,67.89,53.59,95.40,
01/01/2008,118.9,102.3,60.9,87.1,499098.5383,49.17,85.36,65.88,54.43,93.10,
01/02/2008,116.6,101.8,61.2,86.8,501564.7825,52.17,83.80,66.12,54.28,93.40,
01/03/2008,114.1,100.9,56.8,85.7,480608.2187,51.83,83.52,66.47,55.14,91.90,
01/04/2008,115.4,101.4,53.3,84.5,537041.0711,54.92,83.71,66.57,53.62,92.40,
01/05/2008,113.7,99.3,54.7,84.3,440329.8956,53.79,82.13,67.52,53.57,90.00,
01/06/2008,114.4,100.2,54.8,83.1,474040.4143,52.09,82.73,66.34,52.56,86.90,
01/07/2008,111.3,98.7,53.5,83.3,440037.9617,53.11,82.55,69.46,50.90,86.20,
01/08/2008,117.6,100.4,56,83,476586.9611,51.39,83.20,68.86,49.68,88.00,
01/09/2008,109.1,98.6,54.5,83.1,452998.2556,50.25,81.72,68.87,47.36,82.20,
