,ygdp,
01/01/2005,719.27,
01/04/2005,723.23,
01/07/2005,729.19,
01/10/2005,731.95,
01/01/2006,740.12,
01/04/2006,752.71,
01/07/2006,758.57,
01/10/2006,769.61,
01/01/2007,770.62,
01/04/2007,775.71,
01/07/2007,779.59,
01/10/2007,785.37,
01/01/2008,790.16,
01/04/2008,787.31,
01/07/2008,783.00,
01/10/2008,770.93,
01/01/2009,734.68,
01/04/2009,736.67,
01/07/2009,741.07,
01/10/2009,746.84,
01/01/2010,752.21,
01/04/2010,768.60,
01/07/2010,776.01,
01/10/2010,781.10,
01/01/2011,795.22,
01/04/2011,797.38,
01/07/2011,801.69,
01/10/2011,801.69,
01/01/2012,803.42,
01/04/2012,804.19,
01/07/2012,805.92,
01/10/2012,803.24,
01/01/2013,798.78,
01/04/2013,808.44,
01/07/2013,812.49,
01/10/2013,813.44,
01/01/2014,821.94,
01/04/2014,822.20,
01/07/2014,826.42,
01/10/2014,832.54,
01/01/2015,830.67,
01/04/2015,835.76,
01/07/2015,839.64,
01/10/2015,843.52,
01/01/2016,851.69,
01/04/2016,854.45,
01/07/2016,857.04,
01/10/2016,860.49,
01/01/2017,870.79,
01/04/2017,878.38,
01/07/2017,884.50,
01/10/2017,892.96,
01/01/2018,888.62,
01/04/2018,895.09,
01/07/2018,888.62,
01/10/2018,894.23,
01/01/2019,899.23,
01/04/2019,899.83,
01/07/2019,902.25,
01/10/2019,901.90,
01/01/2020,882.05,
01/04/2020,803.57,
01/07/2020,873.51,
01/10/2020,883.43,
01/01/2021,873.60,
01/04/2021,895.85,
01/07/2021,896.19,
01/10/2021,901.71,
01/01/2022,903.35,
01/04/2022,903.18,
01/07/2022,908.52,
01/10/2022,903.87,
01/01/2023,905.18,
01/04/2023,903.80,
01/07/2023,905.53,
01/10/2023,902.16,
01/01/2024,904.30,
01/04/2024,901.62,
01/07/2024,902.57,
01/10/2024,900.76,
01/01/2025,904.47,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
