date;fdiBalBG;bnbBalBG;sofixBG;hicpBG;empBG;survIndustryBG;survRetailBG;survServiceBG;ppiBG;retailBG;importsBG;exportsBG;constBG;ipBG;arrivalsBG;survConsBG
01.01.2005;;12327546000;659.1547619;67.94431035;2236334.513;2.1;10.7;23.9;64.63702383;57.17566016;46.39558137;55.35381294;68.78521524;87.75914016;;112.5
01.02.2005;;12784763000;775.3975;68.46598912;2236781.184;0.7;7.8;10.5;65.13335223;56.34902411;46.8526807;51.46726862;68.24430922;88.13501922;;106.2
01.03.2005;;13197599000;865.8190909;68.90807025;2237383.514;-4.4;8.7;9.6;66.25599817;57.17566016;46.39558137;56.88487585;70.40793329;91.00887604;;106.4
01.04.2005;;13506590000;806.8085714;69.6975322;2255016.639;2.5;12.5;18.8;66.86725288;58.69115959;48.3382535;55.1182648;73.11246338;90.19576133;;108.3
01.05.2005;;14075390000;801.3894737;69.99417144;2255807.13;2.1;14.8;16.3;66.22346592;58.41561424;50.28092563;57.12042399;74.01397341;92.16897639;;108.6
01.06.2005;;14577142000;749.3604545;70.72033296;2263695.138;2;14.1;22.3;67.00334495;59.24225029;50.28092563;58.76926097;76.17759748;92.89368739;;112.7
01.07.2005;;13582423000;753.2157143;71.03851186;2292597.803;4.5;16.2;13.1;67.69157103;59.51779564;50.62375012;59.00480911;78.70182556;94.06628464;;110
01.08.2005;;13912322000;816.5456522;71.62326727;2295574.773;2.3;14.3;1.5;67.86510672;60.34443169;49.25245215;56.2960055;80.50484562;91.8253668;;101.2
01.09.2005;;14275171000;859.952381;72.10569006;2311398.509;4.3;13;12.1;69.10536112;60.48220436;48.3382535;54.2938463;80.50484562;93.55859255;;107.1
01.10.2005;;14259332000;859.5;72.68487528;2294925.598;3.9;8.8;7.7;69.9899448;61.17106774;51.53794877;63.59799784;83.93058373;96.9886879;;102.9
01.11.2005;;14798736000;840.8654545;72.8596778;2308786.758;4.9;7.5;11.8;70.91226324;61.99770379;51.76649843;60.53587202;85.91390579;95.44776398;;107.2
01.12.2005;;14415049000;815.9336364;73.10141152;2319451.341;3.5;10.4;12.7;72.23382044;62.82433984;53.82344539;65.83570517;85.10254677;97.6789433;;109
01.01.2006;;13469985000;847.2877273;73.24896666;2283610.459;-1.7;6.2;8.3;72.46509123;61.30884041;50.05237596;63.48022377;76.26774848;95.33145641;;104.7
01.02.2006;;13415618000;873.0955;75.06439521;2289224.059;-2.5;8.9;8.7;73.89295594;62.68656716;50.96657461;64.18686819;82.84877169;94.20404837;;98.3
01.03.2006;;13722985000;874.7921739;75.38766246;2293121.403;-2.2;10.2;13.6;73.67137345;62.68656716;53.25207123;62.77357935;85.10254677;94.60925143;;102.1
01.04.2006;;14344268000;877.273;75.81627758;2324693.979;-1.1;10.1;18.4;74.93499052;63.92652124;52.79497191;68.89783099;91.32296597;97.20742915;;106.3
01.05.2006;;15242532000;879.1;76.29837744;2338001.389;-3;11.8;33.1;77.35497507;65.85533869;55.88039234;62.65580528;96.82217715;98.79138716;;111
01.06.2006;;15401997000;880.4836364;76.45072656;2345318.204;-2;13.3;32.6;78.06023994;66.68197474;56.10894201;64.06909412;97.09263016;99.28061947;;111.4
01.07.2006;;16277720000;902.6857143;76.39777323;2354657.529;8.5;23.6;33;77.9533886;67.64638347;56.4517665;61.12474237;100.7888213;97.93313193;;117.6
01.08.2006;;15913922000;942.4965217;76.41735067;2352554.518;9;21.1;27.3;78.21459911;69.02411022;57.70878964;63.12690156;100.4282173;101.1229125;;115.5
01.09.2006;;16520265000;945.3605;75.792592;2358371.394;9.4;24.3;27.1;78.05875545;70.12629162;57.02314065;64.77573854;107.7304485;100.6263703;;114
01.10.2006;;16923487000;1044.415909;76.42585849;2369058.959;7.5;24.1;25.4;78.00503483;70.81515499;59.53718693;61.94916086;98.71534821;100.1033022;;115.6
01.11.2006;;17556266000;1109.468636;77.11125115;2375795.553;6.1;26;26;78.7798727;72.33065442;58.96581278;62.89135342;102.5016903;100.5585726;;116.5
01.12.2006;;17458569000;1195.600526;77.69285914;2380998.546;7.2;25.4;25.8;78.93239435;73.0195178;69.47909723;66.8956718;111.5167906;102.4619445;;118.7
01.01.2007;;16776140000;1360.158095;78.35149812;2389201.805;6.7;26.1;27.8;78.5244446;74.94833525;75.99276259;60.65364609;114.5819247;100.9786502;;120.2
01.02.2007;;16692947000;1323.8195;78.6765308;2396425.255;6.3;23.1;27.1;77.95330387;76.326062;72.45024283;63.48022377;116.7455488;107.0177775;;119.7
01.03.2007;;17564730000;1273.882273;78.87288998;2404875.198;7.2;21.3;27.4;78.72868135;77.84156142;75.53566327;68.30896064;117.1963038;107.3698826;;119.1
01.04.2007;;17928209000;1279.95;79.27801053;2399462.267;6.8;18;31.6;79.96679828;78.11710677;71.07894486;67.01344587;118.3682668;107.0722824;;122.1
01.05.2007;;17595793000;1284.938571;79.74917478;2403232.206;9.6;21.5;28.4;81.0276866;79.6326062;72.45024283;68.30896064;119.2697769;106.7430338;;118.9
01.06.2007;;18711632000;1363.812381;80.34127852;2409575.996;7.4;20.7;33.1;81.76744138;79.6326062;74.62146462;69.36892727;124.9492901;107.3731336;;120.8
01.07.2007;;19274734000;1515.368636;81.46753343;2403756.719;8.3;18.2;28.8;83.04237856;80.1836969;76.22131226;66.8956718;124.9492901;108.7165078;;117.5
01.08.2007;;20196406000;1576.068261;83.30307584;2411597.205;9.1;20.4;25.6;83.98503055;81.14810563;76.67841158;65.12906075;127.3833671;108.7200322;;114.2
01.09.2007;;22893664000;1701.486842;84.02284951;2416259.898;7.1;24.3;24.6;84.22025479;81.69919633;82.04932864;69.60447541;121.974307;109.1286932;;115.3
01.10.2007;;23120275000;1918.414348;84.479501;2393345.361;8.1;18.3;20.1;85.80421098;82.3880597;77.02123607;68.89783099;124.228082;109.3527454;;115
01.11.2007;;23533824000;1757.510455;85.89678505;2414672.688;6.8;21.5;20.4;88.53915322;83.21469575;81.24940482;70.42889391;128.9159342;109.6042786;;114.9
01.12.2007;;23346050000;1729.234706;86.75454331;2428417.106;6.2;25.5;17.9;86.8859433;84.86796785;82.04932864;72.66660124;131.8909173;111.9949202;;114.8
01.01.2008;;22843396000;1526.035;87.6571899;2494315.632;8.1;22.4;14.5;87.91400002;85.41905855;95.87658318;72.19550496;132.8825783;108.746475;718336.9363;116.7
01.02.2008;;22797557000;1416.22619;88.47172238;2502353.972;7;24;17.7;88.79856475;87.21010333;98.1620798;74.07989008;137.9310345;109.7191361;717802.2505;115.7
01.03.2008;;23693960000;1295.58;89.46795424;2501911.301;4.6;18.2;19.4;90.57124737;87.62342135;94.61956004;77.02424183;136.4886184;110.4399652;715922.075;114.3
01.04.2008;;25302137000;1174.468095;90.02313336;2490710.25;8.2;22.1;27.5;90.32820047;88.72560276;103.3044472;77.1420159;138.3817895;112.5082298;714610.8095;116.7
01.05.2008;;25061765000;1206.375;90.93241452;2489016.944;10.4;18.2;29.6;90.80904585;87.8989667;101.0189506;74.07989008;139.8242055;114.0665409;713084.4304;119.1
01.06.2008;;25883631000;1192.344762;92.00611169;2487319.122;9.3;21.1;29.3;91.48755072;88.03673938;108.3325398;73.01992345;137.4802795;111.4423942;723044.6353;118.6
01.07.2008;;26683569000;1061.787826;93.06895098;2576891.776;9.5;17.4;23.2;93.33949702;87.62342135;101.3617751;73.13769752;139.0128465;110.7494358;705803.5481;117.3
01.08.2008;;28119197000;1021.34381;92.97529678;2572206.979;6.5;16.5;25.3;93.61955377;86.93455798;98.1620798;74.55098636;139.1931485;107.6784366;721018.2923;118.7
01.09.2008;;28793812000;916.2495238;93.6024938;2568144.055;9.1;16.5;25.5;93.39615751;86.65901263;93.70536139;71.13553833;137.2999775;108.9872734;694409.9339;121.2
01.10.2008;;27757873000;617.0734783;93.87025239;2569118.258;6.4;20.9;25.6;93.7087545;86.7967853;97.47643082;71.84218275;139.4636015;105.2076798;695802.0707;116.1
01.11.2008;;28008918000;400.466;93.41818846;2557687.457;-0.1;22;20.4;91.28687431;86.65901263;86.27749738;68.0734125;136.6689204;102.8442934;691487.3706;108.8
01.12.2008;;24864756000;362.5015789;93.0161155;2541453.915;-8.2;1.4;-0.2;85.82534181;86.38346728;74.73573945;67.24899401;135.4068064;100.345554;688870.5696;92.9
01.01.2009;;23709717000;326.657619;93.05153871;2537519.577;-7.3;2.1;-2.8;85.52486918;85.41905855;74.62146462;58.29816469;132.8825783;89.13097397;674603.9545;92.5
01.02.2009;;23495526000;267.64;93.29399976;2524814.763;-6.8;-3.5;-5.4;84.66317685;83.90355913;78.62108371;62.65580528;130.2681992;92.70246479;675164.0202;90.6
01.03.2009;;23111023000;273.955;93.15439776;2497810.966;-8.9;-15.1;-2.8;84.01304655;82.66360505;76.90696124;60.65364609;128.3750282;89.14714357;677362.4498;88.9
01.04.2009;;23062887000;323.5242105;93.5442;2519877.025;-7;-11.4;-3.7;83.51185991;82.3880597;71.42176936;55.70713515;126.3015551;88.26049193;664173.709;85.4
01.05.2009;;23044515000;374.4773684;93.62681358;2500827.407;-9;-12.9;2;83.710949;80.59701493;74.96428912;62.53803121;121.5235519;88.74634708;662251.3294;86.9
01.06.2009;;23265337000;364.9431818;94.31808331;2484263.839;-13.5;-12.8;-0.7;84.19062212;80.04592423;70.27902105;61.0069683;119.8106829;88.27348694;652496.0574;86.2
01.07.2009;;22905245000;350.8347826;93.93128196;2467789.7;-9.7;-13.5;-0.1;83.16929542;79.90815155;68.79344824;59.71145353;117.0160018;88.16144868;657197.9155;88.4
01.08.2009;;23721817000;431.5719048;94.06915914;2447898.723;-11.2;-11.6;-1.2;83.38280349;79.0815155;73.93581564;61.36029051;113.0493577;89.11425645;630359.5465;87.7
01.09.2009;;24238050000;480.8928571;93.79917896;2432351.584;-9.9;2;-0.6;84.90657587;79.49483352;71.87886868;64.42241633;109.3531666;85.80853908;665082.4514;90.4
01.10.2009;;24774906000;471.9563636;94.08856638;2464674.827;-7.8;1.3;-6;84.76550937;79.49483352;73.93581564;70.42889391;106.1978815;89.22494097;664384.597;89
01.11.2009;;25269601000;453.06;94.26991702;2439832.367;-11.5;3.3;-2.1;85.82908137;78.66819747;70.39329588;67.01344587;102.5918413;89.85424821;662849.5055;88.1
