date,fdiBalBG,bnbBalBG,sofixBG,hicpBG,empBG,survIndustryBG,survRetailBG,survServiceBG,ppiBG,retailBG,importsBG,exportsBG,constBG,ipBG,arrivalsBG,survConsBG
01/01/2005,,12327546000.00,659.15,67.94,2236334.51,2.10,10.70,23.90,64.64,57.18,46.40,55.35,68.79,87.76,,112.50
01/02/2005,,12784763000.00,775.40,68.47,2236781.18,0.70,7.80,10.50,65.13,56.35,46.85,51.47,68.24,88.14,,106.20
01/03/2005,,13197599000.00,865.82,68.91,2237383.51,-4.40,8.70,9.60,66.26,57.18,46.40,56.88,70.41,91.01,,106.40
01/04/2005,,13506590000.00,806.81,69.70,2255016.64,2.50,12.50,18.80,66.87,58.69,48.34,55.12,73.11,90.20,,108.40
01/05/2005,,14075390000.00,801.39,69.99,2255807.13,2.10,14.80,16.30,66.22,58.42,50.28,57.12,74.01,92.17,,108.60
01/06/2005,,14577142000.00,749.36,70.72,2263695.14,2.00,14.10,22.30,67.00,59.24,50.28,58.77,76.18,92.89,,112.60
01/07/2005,,13582423000.00,753.22,71.04,2292597.80,4.50,16.20,13.10,67.69,59.52,50.62,59.00,78.70,94.07,,110.00
01/08/2005,,13912322000.00,816.55,71.62,2295574.77,2.30,14.30,1.50,67.87,60.34,49.25,56.30,80.50,91.83,,101.20
01/09/2005,,14275171000.00,859.95,72.11,2311398.51,4.30,13.00,12.10,69.11,60.48,48.34,54.29,80.50,93.56,,107.10
01/10/2005,,14259332000.00,859.50,72.68,2294925.60,3.90,8.80,7.70,69.99,61.17,51.54,63.60,83.93,96.99,,102.90
01/11/2005,,14798736000.00,840.87,72.86,2308786.76,4.90,7.50,11.80,70.91,62.00,51.77,60.54,85.91,95.45,,107.20
01/12/2005,,14415049000.00,815.93,73.10,2319451.34,3.50,10.40,12.70,72.23,62.82,53.82,65.84,85.10,97.68,,109.00
01/01/2006,,13469985000.00,847.29,73.25,2283610.46,-1.70,6.20,8.30,72.46,61.31,50.05,63.48,76.27,95.33,,104.70
01/02/2006,,13415618000.00,873.10,75.06,2289224.06,-2.50,8.90,8.70,73.89,62.69,50.97,64.19,82.85,94.20,,98.30
01/03/2006,,13722985000.00,874.79,75.39,2293121.40,-2.20,10.20,13.60,73.67,62.69,53.25,62.77,85.10,94.61,,102.20
01/04/2006,,14344268000.00,877.27,75.82,2324693.98,-1.10,10.10,18.40,74.93,63.93,52.79,68.90,91.32,97.21,,106.30
01/05/2006,,15242532000.00,879.10,76.30,2338001.39,-3.00,11.80,33.10,77.35,65.86,55.88,62.66,96.82,98.79,,111.00
01/06/2006,,15401997000.00,880.48,76.45,2345318.20,-2.00,13.30,32.60,78.06,66.68,56.11,64.07,97.09,99.28,,111.40
01/07/2006,,16277720000.00,902.69,76.40,2354657.53,8.50,23.60,33.00,77.95,67.65,56.45,61.12,100.79,97.93,,117.60
01/08/2006,,15913922000.00,942.50,76.42,2352554.52,9.00,21.10,27.30,78.21,69.02,57.71,63.13,100.43,101.12,,115.50
01/09/2006,,16520265000.00,945.36,75.79,2358371.39,9.40,24.30,27.10,78.06,70.13,57.02,64.78,107.73,100.63,,114.00
01/10/2006,,16923487000.00,1044.42,76.43,2369058.96,7.50,24.10,25.40,78.01,70.82,59.54,61.95,98.72,100.10,,115.60
01/11/2006,,17556266000.00,1109.47,77.11,2375795.55,6.10,26.00,26.00,78.78,72.33,58.97,62.89,102.50,100.56,,116.50
01/12/2006,,17458569000.00,1195.60,77.69,2380998.55,7.20,25.40,25.80,78.93,73.02,69.48,66.90,111.52,102.46,,118.70
01/01/2007,,16776140000.00,1360.16,78.35,2389201.80,6.70,26.10,27.80,78.52,74.95,75.99,60.65,114.58,100.98,,120.20
01/02/2007,,16692947000.00,1323.82,78.68,2396425.25,6.30,23.10,27.10,77.95,76.33,72.45,63.48,116.75,107.02,,119.70
01/03/2007,,17564730000.00,1273.88,78.87,2404875.20,7.20,21.30,27.40,78.73,77.84,75.54,68.31,117.20,107.37,,119.10
01/04/2007,,17928209000.00,1279.95,79.28,2399462.27,6.80,18.00,31.60,79.97,78.12,71.08,67.01,118.37,107.07,,122.10
01/05/2007,,17595793000.00,1284.94,79.75,2403232.21,9.60,21.50,28.40,81.03,79.63,72.45,68.31,119.27,106.74,,118.90
01/06/2007,,18711632000.00,1363.81,80.34,2409576.00,7.40,20.70,33.10,81.77,79.63,74.62,69.37,124.95,107.37,,120.80
01/07/2007,,19274734000.00,1515.37,81.47,2403756.72,8.30,18.20,28.80,83.04,80.18,76.22,66.90,124.95,108.72,,117.50
01/08/2007,,20196406000.00,1576.07,83.30,2411597.21,9.10,20.40,25.60,83.99,81.15,76.68,65.13,127.38,108.72,,114.20
01/09/2007,,22893664000.00,1701.49,84.02,2416259.90,7.10,24.30,24.60,84.22,81.70,82.05,69.60,121.97,109.13,,115.30
01/10/2007,,23120275000.00,1918.41,84.48,2393345.36,8.10,18.30,20.10,85.80,82.39,77.02,68.90,124.23,109.35,,115.00
01/11/2007,,23533824000.00,1757.51,85.90,2414672.69,6.80,21.50,20.40,88.54,83.21,81.25,70.43,128.92,109.60,,114.90
01/12/2007,,23346050000.00,1729.23,86.75,2428417.11,6.20,25.50,17.90,86.88,84.87,82.05,72.67,131.89,111.99,,114.80
01/01/2008,,22843396000.00,1526.04,87.66,2494315.63,8.10,22.40,14.50,87.91,85.42,95.88,72.20,132.88,108.75,718336.55,116.70
01/02/2008,,22797557000.00,1416.23,88.47,2502353.97,7.00,24.00,17.70,88.80,87.21,98.16,74.08,137.93,109.72,717801.90,115.70
01/03/2008,,23693960000.00,1295.58,89.47,2501911.30,4.60,18.20,19.40,90.57,87.62,94.62,77.02,136.49,110.44,715921.82,114.30
01/04/2008,,25302137000.00,1174.47,90.02,2490710.25,8.20,22.10,27.50,90.33,88.73,103.30,77.14,138.38,112.51,714610.33,116.70
01/05/2008,,25061765000.00,1206.38,90.93,2489016.94,10.40,18.20,29.60,90.81,87.90,101.02,74.08,139.82,114.07,713084.17,119.10
01/06/2008,,25883631000.00,1192.34,92.01,2487319.12,9.30,21.10,29.30,91.49,88.04,108.33,73.02,137.48,111.44,723044.32,118.60
01/07/2008,,26683569000.00,1061.79,93.07,2576891.78,9.50,17.40,23.20,93.34,87.62,101.36,73.14,139.01,110.75,705803.13,117.30
01/08/2008,,28119197000.00,1021.34,92.98,2572206.98,6.50,16.50,25.30,93.62,86.93,98.16,74.55,139.19,107.68,721018.27,118.70
