date,wtu,tpuCaldara,tpuBaker,epu,gdpDE,gdpFR,gdpIT,gdpES,gdpEA,pmiEA,pmiFR,pmiDE,pmiIT,pmiES,hicpES,hicpDE,hicpIT,hicpFR,hicpEA,euribor,invEA,invDE,invES,invFR,invIT,gdpEAln,invEAln,gdpUS,invUS,pmiUS,cpiUS,tbill,pmiNL,invNL,gdpNL,hicpNL,cpiUK,gdpUK,invUK,pmiUK,polrate
01/01/2000,0.0,1.5,1.8,1.9,1.6,1.0,1.2,1.6,1.3,57.3,59.9,55.9,57.7,1.8,1.2,0.4,0.9,0.5,0.0,3.5,2.0,2.1,0.1,2.3,4.8,28.4,26.9,0.4,-0.7,54.9,1.3,5.7,101.2,-2.4,1.0,0.2,0.0,1.2,4.1,100.4,5.9
01/04/2000,0.0,1.6,2.1,1.9,0.8,1.1,0.7,1.3,0.9,59.8,64.3,59.8,58.3,4.0,0.7,-0.1,0.4,0.3,0.3,4.3,0.9,-0.1,2.7,0.9,1.1,28.4,26.9,1.8,5.9,51.4,0.7,5.7,101.4,1.7,1.0,0.9,0.2,0.7,5.7,99.4,6.0
01/07/2000,0.0,1.5,1.8,1.9,0.1,0.8,0.9,1.0,0.6,58.0,62.0,57.7,57.2,3.7,1.3,0.6,0.8,0.7,0.9,4.7,1.3,1.0,1.8,2.5,1.4,28.4,26.9,0.1,-1.0,49.7,0.8,6.1,101.5,-0.5,0.8,1.1,0.2,0.6,-6.9,99.6,6.0
01/10/2000,0.0,1.4,2.0,2.0,-0.4,0.6,1.0,1.1,0.4,54.5,54.5,55.2,54.9,1.5,0.8,0.8,0.6,0.6,0.7,5.0,-0.3,-1.2,1.5,0.1,-1.5,28.4,26.9,0.6,0.2,43.9,0.6,5.7,101.4,0.9,1.0,0.9,0.5,0.6,3.1,100.6,6.0
01/01/2001,0.0,1.4,1.7,2.1,2.2,0.6,0.8,1.0,3.2,52.1,52.9,52.5,52.2,-0.1,0.2,0.3,0.4,0.0,0.2,4.7,1.0,0.7,0.3,0.7,2.1,28.5,27.0,-0.3,-4.6,43.1,0.9,4.2,100.9,0.0,0.5,1.9,-0.1,0.9,0.1,99.8,5.9
01/04/2001,0.0,1.5,1.7,2.0,-0.3,0.0,-0.1,0.8,0.0,48.5,48.9,48.2,48.6,-4.5,1.2,0.8,0.9,1.0,1.1,4.6,-0.2,-2.1,1.2,-0.5,1.0,28.5,26.9,0.6,0.2,43.2,0.9,3.6,100.3,1.0,0.3,1.4,0.8,0.4,3.7,98.8,5.4
01/07/2001,0.0,1.5,1.9,2.1,0.0,0.5,-0.4,1.0,0.2,46.9,47.2,45.9,46.6,-6.7,0.2,0.1,0.3,0.4,0.4,4.3,-0.8,-1.5,0.1,0.0,-1.0,28.5,26.9,-0.4,-2.2,46.2,0.2,2.4,100.0,-1.2,0.2,1.0,0.4,0.5,-0.1,98.4,5.1
01/10/2001,0.0,1.5,2.0,2.1,-0.3,-0.4,-0.1,0.6,-0.1,43.6,42.3,43.1,44.6,-8.6,0.8,0.2,0.6,0.2,0.4,3.4,-0.3,-1.2,0.7,0.4,0.2,28.5,26.9,0.3,-5.0,45.3,-0.4,1.7,99.5,1.0,0.1,0.8,-0.1,0.3,-3.4,97.3,4.2
01/01/2002,0.0,1.6,1.8,2.0,-0.4,0.6,0.1,0.5,0.2,48.3,48.3,46.6,51.0,-8.6,1.1,0.7,0.7,0.6,0.7,3.4,-0.4,-2.3,2.0,-1.6,2.8,28.5,26.9,0.8,3.0,52.4,0.6,1.8,99.8,-1.6,-0.2,1.3,0.4,0.3,-0.1,97.9,4.0
01/04/2002,0.0,1.6,1.7,2.0,0.4,0.5,0.3,0.8,0.5,51.4,53.1,49.7,51.5,-4.9,1.4,0.1,0.7,0.4,0.6,3.4,-1.0,-1.5,0.0,0.1,-1.8,28.5,26.9,0.6,1.6,53.6,0.6,1.7,99.9,-1.5,0.2,0.8,0.3,0.5,0.0,99.1,4.0
