,arbeitslose,oStellen,ipiAuf,ipi,ifo,baug,ausfuhr,cpiNRW,gdpDE,gdpNRW,,,,
01/01/2005,1033.8,49.4,99.5,108.3,-1.2,164.8,11844.8,81.23333333,83.4,100.525782,,,,
01/04/2005,1059.8,52.5,97.3,107.7,-8.0,162.9,11778.2,81.5,83.86,100.525782,,,,
01/07/2005,1069.1,56.4,101.9,107.6,1.6,175.4,12114.8,81.96666667,84.55,100.525782,,,,
01/10/2005,1067.6,60.0,105.4,110.3,8.7,167.7,12329.4,82.2,84.87,100.525782,,,,
01/01/2006,1051.4,63.4,105.4,110.6,14.8,215.6,12584.1,82.4,85.82,103.5080904,,,,
01/04/2006,1034.7,71.0,106.5,112.7,17.7,169.2,12909.2,82.83333333,87.28,103.5080904,,,,
01/07/2006,1004.7,80.6,107.4,112.4,17.6,151.6,13461.6,83,87.96,103.5080904,,,,
01/10/2006,957.0,85.4,112.1,114.7,22.7,122.3,14241.6,83.06666667,89.24,103.5080904,,,,
01/01/2007,901.8,93.5,115.1,117.7,24.3,104.1,14450.6,83.66666667,89.36,107.1266256,,,,
01/04/2007,864.7,95.4,115.1,117.0,27.5,115.1,14643.7,84.46666667,89.95,107.1266256,,,,
01/07/2007,837.0,91.7,113.9,117.4,25.6,116.6,14570.0,84.83333333,90.4,107.1266256,,,,
01/10/2007,815.3,87.8,122.0,117.4,22.1,107.5,14702.0,85.46666667,91.07,107.1266256,,,,
01/01/2008,776.80,86.82,120.12,121.75,19.14,113.97,14769.2,86.03333333,91.62,108.2722827,,,,
01/04/2008,761.55,87.85,114.31,122.17,15.03,109.23,14548.1,86.7,91.29,108.2722827,,,,
01/07/2008,749.80,88.83,108.43,116.88,4.46,99.65,14366.5,87.26666667,90.79,108.2722827,,,,
01/10/2008,749.48,83.76,88.23,109.10,-13.42,91.64,13335.2,86.76666667,89.39,108.27,,,,
01/01/2009,771.94,73.94,72.84,94.51,-24.47,94.60,11257.2,86.63333333,85.19,102.48,,,,
01/04/2009,809.03,64.73,73.84,93.81,-22.03,99.17,11073.6,86.9,85.42,102.48,,,,
01/07/2009,816.98,63.59,81.94,96.32,-8.77,101.74,11398.5,86.96666667,85.93,102.48,,,,
01/10/2009,812.31,66.35,84.73,99.20,-1.09,107.33,11921.6,87.03333333,86.6,102.48,,,,
01/01/2010,803.02,69.01,90.53,99.66,0.58,92.11,12414.1,87.36666667,87.22,105.03,,,,
01/04/2010,782.24,75.88,98.35,103.18,11.14,94.88,13363.3,87.73333333,89.12,105.03,,,,
01/07/2010,771.24,83.41,97.43,105.47,20.81,101.74,13523.3,87.76666667,89.98,105.03,,,,
01/10/2010,760.04,88.82,99.30,107.13,26.65,98.17,13819.7,88.26666667,90.57,105.03,,,,
01/01/2011,748.01,96.50,103.00,108.89,27.18,111.34,14706.1,89,92.21,107.81,,,,
01/04/2011,730.90,102.94,106.59,108.72,25.86,108.80,14774.6,89.6,92.46,107.81,,,,
01/07/2011,719.88,106.35,98.15,109.48,18.75,99.06,14738.3,89.96666667,92.96,107.81,,,,
01/10/2011,714.12,110.44,95.96,107.41,13.44,118.90,14284.6,90.2,92.96,107.81,,,,
01/01/2012,719.00,108.63,97.87,107.06,17.28,100.45,14978.4,90.8,93.16,107.56,,,,
01/04/2012,731.76,107.13,95.48,106.92,16.84,97.00,15070.3,91.16666667,93.25,107.56,,,,
01/07/2012,737.18,104.53,94.98,107.06,8.28,101.29,15190.3,91.6,93.45,107.56,,,,
